State,Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Alabama,Season 2010-11,3318,375,473,32,146,197,0,0,473,0,0
Alabama,Season 2011-12,2082,134,4,5,9,120,0,0,4,0,0
Alabama,Season 2012-13,2627,406,69,6,5,395,0,0,69,0,0
Alabama,Season 2013-14,2258,155,21,17,98,40,0,0,21,0,0
Alabama,Season 2014-15,7667,897,208,706,4,187,0,0,208,0,0
Alabama,Season 2015-16,9406,523,77,427,59,37,0,0,73,2,2
Alabama,Season 2016-17,25488,1834,1043,1604,3,227,0,0,1014,15,14
Alabama,Season 2017-18,30756,4053,1407,3718,131,204,0,0,1337,4,66
Alabama,Season 2018-19,21984,2191,139,1987,42,162,0,0,119,20,0
Alabama,Season 2019-20,25694,1764,1096,1584,174,6,0,0,973,123,0
Alabama,Season 2020-21,25527,143,120,143,0,0,0,0,120,0,0
Alabama,Season 2021-22,30279,414,12,191,0,223,0,0,12,0,0
Alabama,Season 2022-23,14213,1334,10,1315,2,17,0,0,10,0,0
Alabama,Season 2023-24,16716,1062,1110,1062,0,0,0,0,1110,0,0
Alabama,Season 2023-24 ,498,39,13,2,28,9,0,0,0,13,0
Alabama,Season 2024-25,8289,1321,11,1059,97,165,0,0,11,0,0
Alabama,Season 2025-26,595,126,0,126,0,0,0,0,0,0,0
Alaska,Season 2010-11,3014,885,39,13,343,529,0,0,39,0,0
Alaska,Season 2011-12,3042,305,207,1,113,191,0,0,207,0,0
Alaska,Season 2012-13,3114,551,217,9,9,533,0,0,217,0,0
Alaska,Season 2013-14,2843,602,64,1,484,117,0,0,64,0,0
Alaska,Season 2014-15,3701,848,155,76,21,751,0,0,155,0,0
Alaska,Season 2015-16,5095,768,252,58,607,103,0,0,249,1,2
Alaska,Season 2016-17,5222,922,265,3,14,905,0,0,252,2,11
Alaska,Season 2017-18,3745,858,360,34,173,651,0,0,354,1,5
Alaska,Season 2018-19,4899,1686,99,56,718,912,0,0,99,0,0
Alaska,Season 2019-20,2091,151,398,24,102,25,0,0,398,0,0
Alaska,Season 2020-21,239,6,5,3,1,2,0,0,5,0,0
Alaska,Season 2021-22,1228,239,13,28,0,211,0,0,5,8,0
Alaska,Season 2022-23,2696,764,13,203,125,436,0,0,3,10,0
Alaska,Season 2023-24 ,91,9,1,2,7,0,0,0,1,0,0
Alaska,Season 2024-25,631,256,14,30,83,143,0,0,1,13,0
Arizona,Season 2010-11,5112,1755,395,25,446,1284,0,0,395,0,0
Arizona,Season 2011-12,3517,840,137,26,452,362,0,0,137,0,0
Arizona,Season 2012-13,4425,1556,428,31,62,1463,0,0,428,0,0
Arizona,Season 2013-14,4237,1476,415,31,1149,296,0,0,415,0,0
Arizona,Season 2014-15,6689,2138,207,92,192,1854,0,0,207,0,0
