Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3014,885,39,13,343,529,0,0,39,0,0
Season 2011-12,3042,305,207,1,113,191,0,0,207,0,0
Season 2012-13,3114,551,217,9,9,533,0,0,217,0,0
Season 2013-14,2843,602,64,1,484,117,0,0,64,0,0
Season 2014-15,3701,848,155,76,21,751,0,0,155,0,0
Season 2015-16,5095,768,252,58,607,103,0,0,249,1,2
Season 2016-17,5222,922,265,3,14,905,0,0,252,2,11
Season 2017-18,3745,858,360,34,173,651,0,0,354,1,5
Season 2018-19,4899,1686,99,56,718,912,0,0,99,0,0
Season 2019-20,2091,151,398,24,102,25,0,0,398,0,0
Season 2020-21,239,6,5,3,1,2,0,0,5,0,0
Season 2021-22,1228,239,13,28,0,211,0,0,5,8,0
Season 2022-23,2696,764,13,203,125,436,0,0,3,10,0
Season 2023-24 ,91,9,1,2,7,0,0,0,1,0,0
Season 2024-25,631,256,14,30,83,143,0,0,1,13,0
