Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,5112,1755,395,25,446,1284,0,0,395,0,0
Season 2011-12,3517,840,137,26,452,362,0,0,137,0,0
Season 2012-13,4425,1556,428,31,62,1463,0,0,428,0,0
Season 2013-14,4237,1476,415,31,1149,296,0,0,415,0,0
Season 2014-15,6689,2138,207,92,192,1854,0,0,207,0,0
Season 2015-16,5957,1831,533,291,762,778,0,0,76,58,399
Season 2016-17,11525,1979,1075,286,63,1630,0,0,270,227,578
Season 2017-18,14854,3161,1268,926,180,2055,0,0,351,197,720
Season 2018-19,14577,2688,104,868,1192,628,0,0,52,30,22
Season 2019-20,14030,1489,1214,824,632,33,0,0,646,560,8
Season 2020-21,7413,25,74,23,1,1,0,0,73,1,0
Season 2021-22,15686,1321,6,584,0,737,0,0,2,4,0
Season 2022-23,13625,1406,208,666,227,513,0,0,72,136,0
Season 2023-24,13868,767,723,767,0,0,0,0,723,0,0
Season 2023-24 ,3530,706,225,11,536,159,0,0,5,220,0
Season 2024-25,16196,3815,216,3747,18,48,0,2,213,3,0
Season 2025-26,1144,381,9,381,0,0,0,0,9,0,0
