Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,2125,256,216,26,107,123,0,0,216,0,0
Season 2011-12,1031,57,13,2,16,39,0,0,13,0,0
Season 2012-13,1850,245,145,97,12,136,0,0,145,0,0
Season 2013-14,1946,274,9,114,140,20,0,0,9,0,0
Season 2014-15,3731,763,215,544,20,199,0,0,215,0,0
Season 2015-16,2449,151,134,99,20,32,0,0,122,12,0
Season 2016-17,3356,358,77,307,0,51,0,0,73,4,0
Season 2017-18,8645,1237,1057,1115,21,101,0,0,1014,0,43
Season 2018-19,11435,2636,123,2493,74,69,0,0,121,2,0
Season 2019-20,9463,1247,1351,1100,146,1,0,0,1306,45,0
Season 2020-21,6318,33,50,33,0,0,0,0,50,0,0
Season 2021-22,76524,1718,55,1532,0,186,0,0,55,0,0
Season 2022-23,26793,2947,94,2818,99,30,0,0,92,2,0
Season 2023-24,18216,2475,1174,2475,0,0,0,0,1174,0,0
Season 2023-24 ,1945,447,42,205,49,193,0,0,6,36,0
Season 2024-25,13400,2637,27,2164,260,213,0,0,25,2,0
Season 2025-26,551,60,0,60,0,0,0,0,0,0,0
