Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,9588,802,385,296,264,242,0,0,385,0,0
Season 2011-12,9155,1194,127,328,310,556,0,0,127,0,0
Season 2012-13,14045,1513,545,581,90,842,0,0,545,0,0
Season 2013-14,17491,1877,297,702,1020,155,0,0,297,0,0
Season 2014-15,42148,7614,1207,2381,119,5114,0,0,1207,0,0
Season 2015-16,59255,6002,3947,3042,1463,1497,0,0,2835,309,803
Season 2016-17,54565,7847,715,2967,184,4696,0,0,535,28,152
Season 2017-18,71601,11915,5609,6590,661,4664,0,0,4038,282,1289
Season 2018-19,38821,7621,237,3324,2991,1306,0,0,167,33,37
Season 2019-20,110392,15548,10017,12221,3055,272,0,0,8239,1742,36
Season 2020-21,162479,650,674,647,0,3,0,0,670,1,3
Season 2021-22,279131,9748,93,8538,6,1204,0,0,91,2,0
Season 2022-23,503869,51665,559,48624,448,2593,0,0,503,56,0
Season 2023-24,518926,37943,6894,37943,0,0,0,0,6894,0,0
Season 2023-24 ,9869,3036,448,162,1818,1056,0,0,109,339,0
Season 2024-25,393874,67738,6287,59156,3827,4701,0,54,6093,194,0
Season 2025-26,27500,5055,260,5055,0,0,0,0,260,0,0
