Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,10268,764,401,503,82,179,0,0,401,0,0
Season 2011-12,8776,874,14,407,29,438,0,0,14,0,0
Season 2012-13,13158,1200,809,723,113,364,0,0,809,0,0
Season 2013-14,14458,2311,164,296,1911,104,0,0,164,0,0
Season 2014-15,17981,3619,722,1762,448,1409,0,0,722,0,0
Season 2015-16,21067,2523,493,1254,913,356,0,0,309,40,144
Season 2016-17,22117,1886,1068,1616,3,267,0,0,818,31,219
Season 2017-18,32773,3387,1405,2832,54,501,0,0,1241,2,162
Season 2018-19,26970,5324,364,4263,520,541,0,0,345,16,3
Season 2019-20,37053,3672,2418,3067,552,53,0,0,2231,187,0
Season 2020-21,57031,113,263,112,0,1,0,0,263,0,0
Season 2021-22,66479,2975,7,2261,1,713,0,0,6,1,0
Season 2022-23,60479,5934,286,5280,206,448,0,0,185,101,0
Season 2023-24,58468,4623,2763,4623,0,0,0,0,2763,0,0
Season 2023-24 ,1636,903,317,19,460,412,1,11,14,303,0
Season 2024-25,32708,5675,57,5512,43,120,0,0,56,1,0
Season 2025-26,2286,533,8,533,0,0,0,0,8,0,0
