Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,6394,1640,239,35,440,1165,0,0,239,0,0
Season 2011-12,5281,341,23,92,64,185,0,0,23,0,0
Season 2012-13,7891,1315,294,344,29,942,0,0,294,0,0
Season 2013-14,9931,1762,292,578,640,544,0,0,292,0,0
Season 2014-15,13798,1622,363,793,59,770,0,0,363,0,0
Season 2015-16,17528,1944,625,1149,662,133,0,0,625,0,0
Season 2016-17,17397,2494,799,1507,19,968,0,0,474,62,263
Season 2017-18,29158,3542,2084,2494,161,887,0,0,1614,47,423
Season 2018-19,28447,4205,136,3345,560,300,0,0,106,4,26
Season 2019-20,33119,2890,3611,2549,272,69,0,0,3186,410,15
Season 2020-21,12490,140,163,140,0,0,0,0,162,1,0
Season 2021-22,50612,3046,10,2654,2,390,0,0,10,0,0
Season 2022-23,79104,8498,149,7821,191,486,0,0,145,4,0
Season 2023-24,69654,4977,932,4977,0,0,0,0,932,0,0
Season 2023-24 ,4240,1116,195,94,584,438,0,0,5,190,0
Season 2024-25,42117,6171,425,5048,628,495,0,0,422,3,0
Season 2025-26,2759,429,19,429,0,0,0,0,19,0,0
