Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,507,101,36,84,10,7,0,0,36,0,0
Season 2012-13,47,7,22,0,3,4,0,0,22,0,0
Season 2013-14,159,110,5,0,104,6,0,0,5,0,0
Season 2014-15,238,189,8,0,9,180,0,0,8,0,0
Season 2015-16,188,84,10,0,68,16,0,0,7,0,3
Season 2016-17,73,35,7,0,1,34,0,0,3,0,4
Season 2017-18,566,249,85,0,56,193,0,0,0,5,80
Season 2018-19,1418,275,27,0,147,128,0,0,1,19,7
Season 2019-20,898,156,122,0,138,18,0,0,0,120,2
Season 2020-21,32,0,0,0,0,0,0,0,0,0,0
Season 2021-22,298,59,1,1,0,58,0,0,1,0,0
Season 2022-23,1729,386,20,17,77,292,0,0,1,19,0
Season 2023-24 ,2205,797,207,44,412,341,0,0,5,202,0
Season 2024-25,1274,799,18,36,323,440,0,0,0,18,0
