Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,18681,1438,1665,1058,128,252,0,0,1665,0,0
Season 2011-12,13272,508,176,400,49,59,0,0,176,0,0
Season 2012-13,29219,3102,1975,2740,47,315,0,0,1975,0,0
Season 2013-14,25449,2560,685,2259,240,61,0,0,685,0,0
Season 2014-15,33200,3652,1083,3176,38,438,0,0,1083,0,0
Season 2015-16,27068,1861,782,1496,297,68,0,0,703,38,41
Season 2016-17,38643,4099,2333,3014,27,1058,0,0,1833,333,167
Season 2017-18,51755,7840,2755,6997,261,582,0,0,2495,6,254
Season 2018-19,46668,5360,522,4620,228,512,0,0,506,13,3
Season 2019-20,56581,6001,3655,5343,646,12,0,0,3364,286,5
Season 2020-21,36503,550,361,550,0,0,0,0,361,0,0
Season 2021-22,54843,3298,209,2390,9,899,0,0,205,4,0
Season 2022-23,68419,7347,784,5857,456,1034,0,0,629,155,0
Season 2023-24,83571,5699,4207,5699,0,0,0,0,4207,0,0
Season 2023-24 ,3479,1276,504,230,673,373,0,0,24,480,0
Season 2024-25,46297,6527,114,6192,100,235,0,0,114,0,0
Season 2025-26,3897,691,3,691,0,0,0,0,3,0,0
