Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,9657,1556,467,339,808,409,0,0,467,0,0
Season 2011-12,7215,1079,370,182,42,855,0,0,370,0,0
Season 2012-13,12691,1849,1115,299,77,1473,0,0,1115,0,0
Season 2013-14,10038,1592,325,365,826,401,0,0,325,0,0
Season 2014-15,10878,2203,418,618,83,1502,0,0,418,0,0
Season 2015-16,9843,1345,420,493,478,374,0,0,153,80,187
Season 2016-17,9745,1349,461,407,53,889,0,0,183,89,189
Season 2017-18,10443,1545,740,371,102,1072,0,0,198,42,500
Season 2018-19,9885,1727,285,668,701,358,0,0,55,205,25
Season 2019-20,17473,2482,793,1134,1283,64,1,0,351,441,1
Season 2020-21,14614,67,17,67,0,0,0,0,17,0,0
Season 2021-22,29496,931,26,682,1,248,0,0,22,4,0
Season 2022-23,71515,3247,201,2884,93,270,0,0,157,44,0
Season 2023-24,77843,3715,1168,3715,0,0,0,0,1168,0,0
Season 2023-24 ,2901,965,183,22,437,506,0,0,5,178,0
Season 2024-25,21618,2143,92,1761,318,64,0,0,66,26,0
Season 2025-26,1664,221,8,221,0,0,0,0,8,0,0
