Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,217,160,26,0,13,147,0,0,26,0,0
Season 2011-12,75,52,2,0,14,38,0,0,2,0,0
Season 2012-13,622,393,165,0,3,390,0,0,165,0,0
Season 2013-14,466,355,11,0,323,32,0,0,11,0,0
Season 2014-15,1813,596,57,140,54,402,0,0,57,0,0
Season 2015-16,1449,422,364,117,200,105,0,0,53,28,283
Season 2016-17,3313,1335,53,343,9,983,0,0,11,16,26
Season 2017-18,4716,968,713,397,94,477,0,0,269,9,435
Season 2018-19,4675,1836,43,486,858,492,0,0,25,8,10
Season 2019-20,6094,978,1151,353,546,79,0,0,226,913,12
Season 2020-21,2849,8,30,8,0,0,0,0,30,0,0
Season 2021-22,19791,827,29,552,0,275,0,0,29,0,0
Season 2022-23,18966,3087,43,1654,401,1032,0,0,38,5,0
Season 2023-24,13300,820,359,820,0,0,0,0,359,0,0
Season 2023-24 ,819,408,187,10,333,65,0,0,2,185,0
Season 2024-25,7974,1985,29,1219,381,385,0,0,21,8,0
Season 2025-26,765,154,0,154,0,0,0,0,0,0,0
