Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,2339,531,74,97,134,300,0,0,74,0,0
Season 2011-12,1838,306,89,60,46,200,0,0,89,0,0
Season 2012-13,2768,384,86,74,6,304,0,0,86,0,0
Season 2013-14,4376,597,83,164,374,59,0,0,83,0,0
Season 2014-15,18365,2526,885,1740,81,705,0,0,885,0,0
Season 2015-16,18692,1568,383,1234,249,85,0,0,325,21,37
Season 2016-17,20946,2059,1685,1574,6,479,0,0,1280,325,80
Season 2017-18,21675,3892,1567,3026,144,722,0,0,1168,1,398
Season 2018-19,15187,2264,135,1655,445,164,0,0,121,4,10
Season 2019-20,20140,2202,1757,1804,376,22,0,0,1489,268,0
Season 2020-21,4631,83,121,83,0,0,0,0,121,0,0
Season 2021-22,182010,1601,20,1228,0,373,0,0,20,0,0
Season 2022-23,78711,3707,76,3160,163,384,0,0,73,3,0
Season 2023-24,12816,814,740,814,0,0,0,0,740,0,0
Season 2023-24 ,4939,436,129,151,190,95,0,0,41,88,0
Season 2024-25,12609,2541,49,1968,381,192,0,0,46,3,0
Season 2025-26,834,150,4,150,0,0,0,0,4,0,0
