Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,5190,646,451,137,374,135,0,0,451,0,0
Season 2011-12,1457,206,15,0,26,180,0,0,15,0,0
Season 2012-13,2722,515,157,20,37,458,0,0,157,0,0
Season 2013-14,3023,388,19,0,340,48,0,0,19,0,0
Season 2014-15,6953,1324,176,664,41,619,0,0,176,0,0
Season 2015-16,6183,759,125,378,270,111,0,0,75,31,19
Season 2016-17,9452,1570,638,837,39,694,0,0,404,112,122
Season 2017-18,13763,2310,1126,1621,126,562,1,0,879,14,233
Season 2018-19,11338,2010,39,1438,287,285,0,0,21,11,7
Season 2019-20,13526,1120,954,832,283,5,0,0,699,250,5
Season 2020-21,13320,38,36,38,0,0,0,0,36,0,0
Season 2021-22,20166,847,5,745,1,101,0,0,5,0,0
Season 2022-23,15855,1316,13,1275,17,24,0,0,9,4,0
Season 2023-24,11709,468,345,468,0,0,0,0,345,0,0
Season 2023-24 ,359,120,51,4,51,65,0,0,1,50,0
Season 2024-25,6909,866,9,631,118,117,0,0,7,2,0
Season 2025-26,477,43,0,43,0,0,0,0,0,0,0
