Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,2990,699,369,21,299,379,0,0,369,0,0
Season 2011-12,2428,1203,33,29,120,1054,0,0,33,0,0
Season 2012-13,4102,1491,362,77,15,1398,1,0,362,0,0
Season 2013-14,1521,689,45,30,508,151,0,0,45,0,0
Season 2014-15,5080,1067,333,307,95,665,0,0,333,0,0
Season 2015-16,4830,632,141,223,278,131,0,0,37,26,78
Season 2016-17,8925,1805,612,968,15,822,0,0,383,79,150
Season 2017-18,15382,2973,1847,1932,60,980,1,0,1365,2,480
Season 2018-19,12369,2649,51,1761,468,420,0,0,14,27,10
Season 2019-20,11418,1431,1684,842,528,61,0,0,1051,629,4
Season 2020-21,12730,31,64,27,3,0,1,0,64,0,0
Season 2021-22,48277,2893,9,2734,1,158,0,0,9,0,0
Season 2022-23,84564,11095,530,10778,105,212,0,0,415,115,0
Season 2023-24,63707,5809,2861,5809,0,0,0,0,2861,0,0
Season 2023-24 ,786,435,250,16,223,196,0,0,5,245,0
Season 2024-25,49092,9351,220,8229,751,370,0,1,220,0,0
Season 2025-26,3015,445,11,445,0,0,0,0,11,0,0
