Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,422,176,47,1,75,100,0,0,47,0,0
Season 2011-12,164,118,1,1,23,94,0,0,1,0,0
Season 2012-13,98,47,20,0,0,47,0,0,20,0,0
Season 2013-14,119,71,1,1,58,12,0,0,1,0,0
Season 2014-15,7489,953,350,860,8,85,0,0,350,0,0
Season 2015-16,5573,455,182,324,108,23,0,0,156,6,20
Season 2016-17,4207,418,123,292,4,122,0,0,111,2,10
Season 2017-18,3988,360,185,283,23,54,0,0,168,2,15
Season 2018-19,3826,476,75,250,70,156,0,0,75,0,0
Season 2019-20,3963,334,149,245,89,0,0,0,142,7,0
Season 2020-21,46375,13,12,13,0,0,0,0,12,0,0
Season 2021-22,37926,832,2,578,0,254,0,0,2,0,0
Season 2022-23,11416,1016,10,921,24,71,0,0,6,4,0
Season 2023-24,13901,1113,483,1113,0,0,0,0,483,0,0
Season 2023-24 ,486,31,18,8,11,12,0,0,3,15,0
Season 2024-25,1023,28,0,19,5,4,0,0,0,0,0
