Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,2114,309,104,9,239,61,0,0,104,0,0
Season 2011-12,960,126,9,11,23,92,0,0,9,0,0
Season 2012-13,1496,271,83,4,7,260,0,0,83,0,0
Season 2013-14,3093,275,18,0,248,27,0,0,18,0,0
Season 2014-15,7356,751,166,349,35,367,0,0,166,0,0
Season 2015-16,10365,506,313,351,110,45,0,0,306,5,2
Season 2016-17,12135,902,292,632,20,250,0,0,280,3,9
Season 2017-18,19165,1556,953,1075,104,377,0,0,643,13,297
Season 2018-19,21898,2385,61,2032,107,246,0,0,57,2,2
Season 2019-20,27245,2030,1235,1904,124,2,0,0,1144,88,3
Season 2020-21,22866,172,100,172,0,0,0,0,100,0,0
Season 2021-22,116130,2205,39,2036,0,169,0,0,39,0,0
Season 2022-23,38033,3033,76,2931,61,41,0,0,74,2,0
Season 2023-24,26862,1241,915,1241,0,0,0,0,915,0,0
Season 2023-24 ,1154,474,176,0,266,208,0,0,1,175,0
Season 2024-25,16309,2408,27,1679,342,387,0,0,26,1,0
Season 2025-26,809,107,4,107,0,0,0,0,4,0,0
