Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,7250,593,741,464,37,92,0,0,741,0,0
Season 2011-12,4489,352,19,329,12,11,0,0,19,0,0
Season 2012-13,6698,777,361,637,7,133,0,0,361,0,0
Season 2013-14,4109,967,194,236,715,16,0,0,194,0,0
Season 2014-15,11863,2007,554,616,72,1319,0,0,554,0,0
Season 2015-16,18721,979,440,672,177,130,0,0,440,0,0
Season 2016-17,37926,4983,1673,4341,40,602,0,0,1481,37,155
Season 2017-18,29595,3999,1352,3560,135,304,0,0,1225,3,124
Season 2018-19,19026,2367,291,1875,175,317,0,0,190,101,0
Season 2019-20,19475,1648,1820,1350,255,43,0,0,1527,293,0
Season 2020-21,4603,45,78,44,0,1,0,0,78,0,0
Season 2021-22,9263,366,13,314,0,52,0,0,13,0,0
Season 2022-23,8960,736,42,696,27,13,0,0,37,5,0
Season 2023-24,2940,249,259,249,0,0,0,0,259,0,0
Season 2023-24 ,3133,224,164,13,190,21,0,0,18,146,0
Season 2024-25,1484,229,1,123,21,83,0,2,0,1,0
Season 2025-26,133,27,0,27,0,0,0,0,0,0,0
