Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,814,289,122,3,171,115,0,0,122,0,0
Season 2011-12,764,54,21,0,13,41,0,0,21,0,0
Season 2012-13,928,392,18,1,17,374,0,0,18,0,0
Season 2013-14,1063,353,59,3,275,75,0,0,59,0,0
Season 2014-15,4117,1127,150,559,29,539,0,0,150,0,0
Season 2015-16,3376,626,204,316,226,84,0,0,204,0,0
Season 2016-17,4322,893,594,625,0,268,0,0,533,8,53
Season 2017-18,5271,1160,306,789,55,316,0,0,158,33,115
Season 2018-19,4173,1078,149,743,284,51,0,0,71,74,4
Season 2019-20,4880,648,617,388,230,30,0,0,384,229,4
Season 2020-21,5418,13,7,12,1,0,0,0,7,0,0
Season 2021-22,12077,818,1,650,0,168,0,0,1,0,0
Season 2022-23,279,9,2,0,7,2,0,0,1,1,0
Season 2023-24,38926,3281,288,3281,0,0,0,0,288,0,0
Season 2023-24 ,799,624,122,3,520,101,0,0,1,121,0
Season 2024-25,23468,3521,342,2505,510,506,0,0,342,0,0
Season 2025-26,1744,195,5,195,0,0,0,0,5,0,0
