Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,2752,1467,134,75,695,697,0,0,134,0,0
Season 2011-12,2260,502,160,165,56,281,0,0,160,0,0
Season 2012-13,5393,2351,566,75,56,2220,0,0,566,0,0
Season 2013-14,4462,1720,174,25,1201,494,0,0,174,0,0
Season 2014-15,8109,2558,245,366,131,2061,0,0,245,0,0
Season 2015-16,6423,1582,458,86,1149,347,0,0,61,175,222
Season 2016-17,13184,3144,1167,980,57,2068,39,0,516,94,557
Season 2017-18,19229,4244,1522,1742,591,1911,0,0,623,139,760
Season 2018-19,17171,5259,243,1452,2354,1453,0,0,103,99,41
Season 2019-20,20757,3341,2400,1305,1893,143,0,0,1016,1364,20
Season 2020-21,27621,137,107,77,0,60,0,0,107,0,0
Season 2021-22,32198,805,6,437,2,366,0,0,4,2,0
Season 2022-23,25733,1912,13,1793,3,116,0,0,11,2,0
Season 2023-24,16181,1349,538,1349,0,0,0,0,538,0,0
Season 2023-24 ,2927,1232,521,67,539,626,0,0,12,509,0
Season 2024-25,9856,1952,34,577,726,649,0,0,8,26,0
Season 2025-26,713,97,1,97,0,0,0,0,1,0,0
