Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1229,243,56,1,113,129,0,0,56,0,0
Season 2011-12,684,35,29,0,7,28,0,0,29,0,0
Season 2012-13,1429,231,99,2,15,214,0,0,99,0,0
Season 2013-14,1978,274,65,3,194,77,0,0,65,0,0
Season 2014-15,12133,1492,275,1116,17,359,0,0,275,0,0
Season 2015-16,16714,1787,797,1613,146,28,0,0,763,25,9
Season 2016-17,28266,3468,1280,3150,6,312,0,0,1276,0,4
Season 2017-18,34276,4685,2178,4498,31,156,0,0,2176,0,2
Season 2018-19,32397,5237,679,4639,432,166,0,0,679,0,0
Season 2019-20,39930,4274,3806,3920,324,30,0,0,3801,5,0
Season 2020-21,29542,161,259,161,0,0,0,0,259,0,0
Season 2021-22,62488,3394,21,3239,0,155,0,0,21,0,0
Season 2022-23,124410,9030,399,8602,101,327,0,0,398,1,0
Season 2023-24,84072,6634,1753,6634,0,0,0,0,1753,0,0
Season 2023-24 ,1044,609,6,5,376,228,0,0,5,1,0
Season 2024-25,48389,8369,772,6823,623,923,0,0,771,1,0
Season 2025-26,3148,425,48,425,0,0,0,0,48,0,0
