Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,526,316,66,1,157,158,0,0,66,0,0
Season 2011-12,1306,1044,75,0,33,1011,0,0,75,0,0
Season 2012-13,822,470,116,0,22,448,0,0,116,0,0
Season 2013-14,631,373,31,1,307,65,0,0,31,0,0
Season 2014-15,23361,3140,806,1973,25,1142,0,0,806,0,0
Season 2015-16,30092,2999,737,2506,271,210,12,0,685,21,31
Season 2016-17,44149,4303,2818,3741,20,541,1,0,2616,57,145
Season 2017-18,62859,10248,3387,9565,95,588,0,0,3206,7,174
Season 2018-19,53909,8163,980,7351,453,359,0,0,917,39,24
Season 2019-20,78801,9181,6952,8660,490,31,0,0,6651,301,0
Season 2020-21,35848,283,861,276,0,7,0,0,861,0,0
Season 2021-22,43479,2358,5,1782,7,568,1,0,5,0,0
Season 2022-23,29998,2112,137,1323,293,495,1,0,69,68,0
Season 2023-24,26246,1313,490,1313,0,0,0,0,490,0,0
Season 2023-24 ,2032,795,235,8,517,269,0,1,13,222,0
Season 2024-25,13394,2221,23,1426,400,395,0,0,18,5,0
Season 2025-26,968,110,1,110,0,0,0,0,1,0,0
