Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,5968,820,417,94,12,714,0,0,417,0,0
Season 2011-12,5995,1097,100,41,68,988,0,0,100,0,0
Season 2012-13,8532,1834,636,141,52,1640,1,0,636,0,0
Season 2013-14,9325,1547,169,77,1002,468,0,0,169,0,0
Season 2014-15,20366,4130,758,1394,249,2487,0,0,758,0,0
Season 2015-16,19771,2080,327,1008,751,321,0,0,204,13,110
Season 2016-17,24367,3005,1963,1468,24,1513,0,0,1080,75,808
Season 2017-18,29690,6684,1539,3686,170,2828,0,0,910,52,577
Season 2018-19,18161,2713,111,1605,760,348,0,0,76,15,20
Season 2019-20,18622,2560,1167,1336,1196,28,0,0,638,502,27
Season 2020-21,20703,62,101,60,0,2,0,0,100,0,1
Season 2021-22,110458,5873,11,5383,2,488,0,0,10,1,0
Season 2022-23,64839,8461,356,7458,123,880,0,0,332,24,0
Season 2023-24,70707,4143,1813,4143,0,0,0,0,1813,0,0
Season 2023-24 ,3314,1799,557,387,960,450,2,0,26,531,0
Season 2024-25,45067,9231,193,7244,1664,322,0,1,142,51,0
Season 2025-26,2990,670,7,670,0,0,0,0,7,0,0
