Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,117,17,11,0,4,13,0,0,11,0,0
Season 2011-12,842,73,8,20,8,45,0,0,8,0,0
Season 2012-13,1656,227,83,99,7,121,0,0,83,0,0
Season 2013-14,2297,428,26,305,112,11,0,0,26,0,0
Season 2014-15,4831,664,185,484,12,168,0,0,185,0,0
Season 2015-16,5581,334,100,287,19,28,0,0,78,13,9
Season 2016-17,4458,476,101,324,9,143,0,0,66,15,20
Season 2017-18,3540,458,148,251,80,127,0,0,73,0,75
Season 2018-19,3906,758,29,441,25,292,0,0,25,2,2
Season 2019-20,4499,463,420,223,221,19,0,0,249,171,0
Season 2020-21,1527,9,35,9,0,0,0,0,35,0,0
Season 2021-22,3305,217,40,181,1,35,0,0,40,0,0
Season 2022-23,7231,762,472,681,41,40,0,0,466,6,0
Season 2023-24,8352,392,421,392,0,0,0,0,421,0,0
Season 2023-24 ,253,58,19,7,26,25,0,0,4,15,0
Season 2024-25,5727,779,121,529,95,155,0,0,119,2,0
Season 2025-26,384,60,4,60,0,0,0,0,4,0,0
