Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,8310,349,154,263,52,34,0,0,154,0,0
Season 2011-12,8263,341,13,224,8,109,0,0,13,0,0
Season 2012-13,9793,217,346,38,18,161,0,0,346,0,0
Season 2013-14,11483,420,58,9,360,51,0,0,58,0,0
Season 2014-15,20890,1324,320,627,60,637,0,0,320,0,0
Season 2015-16,18583,466,166,404,20,42,0,0,147,11,8
Season 2016-17,28387,1757,869,1613,3,141,0,0,854,6,9
Season 2017-18,31824,2768,1619,2512,51,205,0,0,1508,7,104
Season 2018-19,47693,6916,102,6844,43,29,0,0,95,6,1
Season 2019-20,61887,6198,6223,6134,62,2,0,0,6191,32,0
Season 2020-21,56825,234,490,233,1,0,0,0,490,0,0
Season 2021-22,132634,3890,11,3763,0,127,0,0,11,0,0
Season 2022-23,103758,9616,65,9261,133,222,0,0,61,4,0
Season 2023-24,85571,4251,3454,4251,0,0,0,0,3454,0,0
Season 2023-24 ,930,407,43,26,253,127,0,1,3,40,0
Season 2024-25,72892,9199,62,8490,311,398,0,0,61,1,0
Season 2025-26,5367,767,6,767,0,0,0,0,6,0,0
