Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1517,266,65,68,41,157,0,0,65,0,0
Season 2011-12,686,122,10,14,39,69,0,0,10,0,0
Season 2012-13,3090,472,205,293,3,176,0,0,205,0,0
Season 2013-14,3340,505,29,124,349,32,0,0,29,0,0
Season 2014-15,5281,736,83,496,71,169,0,0,83,0,0
Season 2015-16,4841,424,240,301,88,35,0,0,240,0,0
Season 2016-17,5881,826,187,476,36,314,0,0,150,0,37
Season 2017-18,6241,838,465,494,50,294,0,0,313,30,122
Season 2018-19,8812,1916,186,1405,272,239,0,0,114,64,8
Season 2019-20,10432,1164,832,922,198,44,0,0,525,307,0
Season 2020-21,13340,29,62,29,0,0,0,0,62,0,0
Season 2021-22,29014,1631,8,1320,4,307,0,0,8,0,0
Season 2022-23,26778,3214,45,2899,130,185,0,0,38,7,0
Season 2023-24,15531,1977,690,1977,0,0,0,0,690,0,0
Season 2023-24 ,558,312,149,1,171,140,0,0,1,148,0
Season 2024-25,8733,1616,26,1304,169,143,0,0,18,8,0
Season 2025-26,813,157,6,157,0,0,0,0,6,0,0
