Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1764,348,123,26,118,204,0,0,123,0,0
Season 2011-12,911,169,11,32,11,126,0,0,11,0,0
Season 2012-13,2175,335,236,70,10,255,0,0,236,0,0
Season 2013-14,1939,324,35,22,249,53,0,0,35,0,0
Season 2014-15,4256,735,151,458,22,255,0,0,151,0,0
Season 2015-16,3377,382,58,274,71,37,0,0,53,1,4
Season 2016-17,5340,668,314,552,5,111,0,0,293,9,12
Season 2017-18,8316,1202,708,1084,9,108,1,0,689,1,18
Season 2018-19,6394,1057,19,919,56,82,0,0,10,6,3
Season 2019-20,4737,649,476,533,112,4,0,0,447,27,2
Season 2020-21,48534,46,81,36,5,5,0,0,81,0,0
Season 2021-22,46481,2513,7,2299,2,212,0,0,6,1,0
Season 2022-23,73545,9664,213,9547,35,82,0,0,207,6,0
Season 2023-24,71910,6559,4999,6559,0,0,0,0,4999,0,0
Season 2023-24 ,609,112,117,23,68,21,0,0,22,95,0
Season 2024-25,42243,9860,865,9254,220,386,0,0,865,0,0
Season 2025-26,2914,718,40,718,0,0,0,0,40,0,0
