Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,623,219,60,1,90,128,0,0,60,0,0
Season 2011-12,1076,286,43,0,106,180,0,0,43,0,0
Season 2012-13,1381,296,274,0,18,278,0,0,274,0,0
Season 2013-14,1250,351,77,0,311,40,0,0,77,0,0
Season 2014-15,1017,396,41,4,48,344,0,0,41,0,0
Season 2015-16,1328,198,129,37,96,65,0,0,39,30,60
Season 2016-17,1113,360,64,77,13,270,0,0,19,2,43
Season 2017-18,2086,553,296,215,24,314,0,0,73,1,222
Season 2018-19,1720,487,10,223,159,105,0,0,8,1,1
Season 2019-20,2615,536,365,230,272,34,0,0,230,135,0
Season 2020-21,182347,16,14,16,0,0,0,0,14,0,0
Season 2021-22,101083,823,7,458,0,365,0,0,7,0,0
Season 2022-23,24186,446,12,259,67,120,0,0,5,7,0
Season 2023-24 ,10010,2023,662,1539,324,160,0,0,525,137,0
Season 2024-25,20015,4389,309,4037,102,250,0,0,266,43,0
Season 2025-26,1818,630,16,630,0,0,0,0,16,0,0
