Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1126,312,38,56,95,161,0,0,38,0,0
Season 2011-12,449,87,40,11,7,69,0,0,40,0,0
Season 2012-13,534,259,12,20,4,235,0,0,12,0,0
Season 2013-14,1299,345,83,4,291,50,0,0,83,0,0
Season 2014-15,1142,476,34,58,15,403,0,0,34,0,0
Season 2015-16,1001,206,96,39,119,48,0,0,21,58,17
Season 2016-17,1564,310,93,90,2,218,0,0,43,4,46
Season 2017-18,462,217,79,4,37,176,0,0,1,8,70
Season 2018-19,594,292,33,3,205,84,0,0,0,12,21
Season 2019-20,414,90,63,3,73,14,0,0,1,61,1
Season 2020-21,26575,0,1,0,0,0,0,0,0,1,0
Season 2021-22,65373,78,0,2,0,76,0,0,0,0,0
Season 2022-23,4146,60,5,6,25,29,0,0,1,4,0
Season 2023-24 ,1647,843,57,172,527,144,0,0,16,41,0
Season 2024-25,1319,779,57,428,112,239,0,0,11,46,0
