Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2015-16,926,282,122,2,188,92,0,0,105,9,8
Season 2016-17,668,290,79,1,4,285,0,0,74,2,3
Season 2017-18,1059,398,231,1,103,294,0,0,180,20,31
Season 2018-19,905,533,4,1,281,251,0,0,1,3,0
Season 2019-20,994,222,50,3,177,42,0,0,44,6,0
Season 2020-21,1183,0,0,0,0,0,0,0,0,0,0
Season 2021-22,2031,244,2,16,1,227,0,0,2,0,0
Season 2022-23,1126,157,16,9,39,109,0,0,15,1,0
Season 2023-24,58300,4287,782,4287,0,0,0,0,782,0,0
Season 2023-24 ,780,251,42,15,164,72,0,0,38,4,0
Season 2024-25,17370,3185,48,2958,152,75,0,0,48,0,0
Season 2025-26,1115,190,0,190,0,0,0,0,0,0,0
