Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1070,358,98,15,87,256,0,0,98,0,0
Season 2011-12,830,240,13,5,68,167,0,0,13,0,0
Season 2012-13,1000,281,124,3,18,260,0,0,124,0,0
Season 2013-14,1343,377,13,7,242,128,0,0,13,0,0
Season 2014-15,2265,604,145,5,20,579,0,0,145,0,0
Season 2015-16,17749,1825,1054,1365,193,267,0,0,948,44,62
Season 2016-17,16808,2203,406,1708,14,481,0,0,342,6,58
Season 2017-18,30069,3318,2892,2830,41,447,0,0,2612,0,280
Season 2018-19,13027,2502,42,1509,687,306,0,0,26,9,7
Season 2019-20,21840,1699,1348,1300,389,10,0,0,1022,325,1
Season 2020-21,50928,128,194,118,5,5,0,0,186,6,2
Season 2021-22,141827,8666,41,7699,9,958,0,0,41,0,0
Season 2022-23,185524,17475,301,16477,343,654,1,0,274,27,0
Season 2023-24,143947,9844,7054,9844,0,0,0,0,7054,0,0
Season 2023-24 ,2755,625,264,17,446,162,0,0,4,260,0
Season 2024-25,91481,12960,315,12124,228,608,0,0,306,9,0
Season 2025-26,6834,1804,23,1804,0,0,0,0,23,0,0
