Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,22223,3107,674,1559,204,1344,0,0,674,0,0
Season 2011-12,9044,485,146,136,143,206,0,0,146,0,0
Season 2012-13,33263,4477,1691,2377,140,1960,0,0,1691,0,0
Season 2013-14,32910,3758,1358,1767,1386,605,0,0,1358,0,0
Season 2014-15,60818,7380,1601,4030,180,3170,0,0,1601,0,0
Season 2015-16,70398,7233,2309,5938,891,404,0,0,2051,167,91
Season 2016-17,86592,10579,2682,9712,10,857,0,0,2479,39,164
Season 2017-18,109704,12821,7954,11167,232,1422,0,0,7553,17,384
Season 2018-19,103218,15485,353,13565,933,987,0,0,311,32,10
Season 2019-20,80147,7736,4866,7059,578,99,0,0,4612,231,23
Season 2020-21,175899,393,499,389,2,2,0,0,499,0,0
Season 2021-22,303568,8638,51,8413,4,221,0,0,51,0,0
Season 2022-23,277815,21182,809,20635,105,442,0,0,800,9,0
Season 2023-24,218884,15230,4099,15230,0,0,0,0,4099,0,0
Season 2023-24 ,12332,1256,137,290,710,256,0,0,45,92,0
Season 2024-25,107970,15694,766,12181,2074,1439,0,0,740,26,0
Season 2025-26,6980,966,52,966,0,0,0,0,52,0,0
