Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1106,306,223,3,206,97,0,0,223,0,0
Season 2011-12,585,146,3,0,48,98,0,0,3,0,0
Season 2012-13,800,329,92,0,11,318,0,0,92,0,0
Season 2013-14,607,242,10,0,222,20,0,0,10,0,0
Season 2014-15,7604,1281,242,1001,9,271,0,0,242,0,0
Season 2015-16,8047,787,275,559,174,54,0,0,227,26,22
Season 2016-17,15573,1949,742,1625,39,285,0,0,654,28,60
Season 2017-18,19835,2257,941,2059,41,157,0,0,848,25,68
Season 2018-19,17742,2386,173,2142,122,122,0,0,166,3,4
Season 2019-20,13119,966,703,723,224,19,0,0,534,162,7
Season 2020-21,23452,54,58,49,4,1,0,0,56,1,1
Season 2021-22,2007,45,3,2,0,43,0,0,0,3,0
Season 2022-23,98301,7241,79,6903,88,250,0,0,69,10,0
Season 2023-24,118044,6154,3214,6154,0,0,0,0,3214,0,0
Season 2023-24 ,493,187,30,5,150,32,0,0,0,30,0
Season 2024-25,69667,8675,56,7713,491,471,0,0,55,1,0
Season 2025-26,4877,524,5,524,0,0,0,0,5,0,0
