Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3893,604,219,446,86,72,0,0,219,0,0
Season 2011-12,108,63,6,0,12,51,0,0,6,0,0
Season 2012-13,4182,639,296,454,10,175,0,0,296,0,0
Season 2013-14,2944,538,52,375,138,25,0,0,52,0,0
Season 2014-15,1253,346,113,126,23,197,0,0,113,0,0
Season 2015-16,1477,279,69,102,146,31,0,0,23,11,35
Season 2016-17,3473,570,448,192,26,351,1,0,133,37,278
Season 2017-18,5853,1556,528,865,72,619,0,0,282,32,214
Season 2018-19,9079,2621,98,1860,556,205,0,0,41,50,7
Season 2019-20,13632,2255,1833,1957,278,20,0,0,1447,384,2
Season 2020-21,605,45,81,42,1,2,0,0,80,1,0
Season 2021-22,1635,236,0,6,0,230,0,0,0,0,0
Season 2022-23,467,257,1,1,82,174,0,0,0,1,0
Season 2023-24,13404,1304,657,1304,0,0,0,0,657,0,0
Season 2023-24 ,681,300,195,12,209,79,0,0,7,188,0
Season 2024-25,7524,1772,27,1378,307,87,0,0,27,0,0
Season 2025-26,512,116,0,116,0,0,0,0,0,0,0
