Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3270,332,128,165,112,55,0,0,128,0,0
Season 2011-12,2619,132,16,42,5,85,0,0,16,0,0
Season 2012-13,3105,685,294,236,7,442,0,0,294,0,0
Season 2013-14,3204,694,50,341,282,71,0,0,50,0,0
Season 2014-15,20932,3558,528,2265,14,1279,0,0,528,0,0
Season 2015-16,33017,2669,915,2167,371,125,6,0,828,45,42
Season 2016-17,72910,7582,4856,6722,13,832,15,0,4619,64,173
Season 2017-18,104967,16096,6265,14985,189,922,0,0,6061,5,199
Season 2018-19,92547,16724,470,15005,751,968,0,0,454,7,9
Season 2019-20,118825,13382,11380,12430,936,16,0,0,10987,393,0
Season 2020-21,51722,441,1057,440,0,1,0,0,1057,0,0
Season 2021-22,231556,12008,221,10926,17,1064,1,0,217,4,0
Season 2022-23,200000,27002,320,25869,752,381,0,0,294,26,0
Season 2023-24,274850,21583,13240,21583,0,0,0,0,13240,0,0
Season 2023-24 ,1133,877,178,3,532,342,0,0,4,174,0
Season 2024-25,158178,22198,187,20983,628,586,0,1,187,0,0
Season 2025-26,10479,1581,19,1581,0,0,0,0,19,0,0
