Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3303,598,325,315,18,265,0,0,325,0,0
Season 2011-12,1864,293,4,81,192,20,0,0,4,0,0
Season 2012-13,4426,484,257,103,8,373,0,0,257,0,0
Season 2013-14,5813,726,67,154,464,108,0,0,67,0,0
Season 2014-15,8883,1104,300,545,77,482,0,0,300,0,0
Season 2015-16,7684,260,159,163,27,70,0,0,145,3,11
Season 2016-17,9675,855,393,608,27,220,0,0,328,3,62
Season 2017-18,13848,1639,612,1326,100,213,0,0,548,4,60
Season 2018-19,12274,1343,41,1106,79,158,0,0,33,6,2
Season 2019-20,12231,1030,891,814,213,3,0,0,834,57,0
Season 2020-21,21348,19,124,19,0,0,0,0,124,0,0
Season 2021-22,25718,1202,0,1161,0,41,0,0,0,0,0
Season 2022-23,16516,1556,5,1500,24,32,0,0,3,2,0
Season 2023-24,35040,1819,1858,1819,0,0,0,0,1858,0,0
Season 2023-24 ,261,18,6,2,7,9,0,0,0,6,0
Season 2024-25,13500,2094,9,1988,29,77,0,0,6,3,0
Season 2025-26,822,99,1,99,0,0,0,0,1,0,0
