Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,8928,2220,382,89,790,1341,0,0,382,0,0
Season 2011-12,5817,265,172,7,68,190,0,0,172,0,0
Season 2012-13,7942,1521,681,16,104,1401,0,0,681,0,0
Season 2013-14,6637,1346,315,19,933,394,0,0,315,0,0
Season 2014-15,21922,3067,418,1582,71,1414,0,0,418,0,0
Season 2015-16,24582,2037,837,1600,228,209,0,0,659,63,115
Season 2016-17,22720,2907,973,2369,4,533,1,0,874,49,50
Season 2017-18,26427,3176,1976,2598,85,493,0,0,1709,40,227
Season 2018-19,19101,3459,103,2731,370,358,0,0,100,2,1
Season 2019-20,22221,2486,2293,2184,255,47,0,0,2258,34,1
Season 2020-21,116281,94,254,92,1,1,0,0,253,1,0
Season 2021-22,210008,3343,28,2356,5,982,0,0,28,0,0
Season 2022-23,95550,5916,74,5332,232,352,0,0,39,35,0
Season 2023-24,29563,2884,1337,2884,0,0,0,0,1337,0,0
Season 2023-24 ,16757,765,174,52,522,191,0,0,10,164,0
Season 2024-25,31413,5113,115,4315,357,441,0,0,94,21,0
Season 2025-26,2180,413,2,413,0,0,0,0,2,0,0
