Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2012-13,472,321,79,0,94,227,0,0,79,0,0
Season 2013-14,462,219,46,0,153,66,0,0,46,0,0
Season 2014-15,718,422,70,0,35,387,0,0,70,0,0
Season 2015-16,1020,380,228,4,183,193,0,0,33,53,142
Season 2016-17,642,413,95,0,2,411,0,0,19,52,24
Season 2017-18,724,465,155,0,33,432,0,0,4,9,142
Season 2018-19,1314,953,12,0,548,405,0,0,10,0,2
Season 2019-20,758,388,130,0,336,52,0,0,59,65,6
Season 2020-21,206,0,0,0,0,0,0,0,0,0,0
Season 2021-22,520,200,0,0,1,199,0,0,0,0,0
Season 2022-23,624,322,48,19,41,262,0,0,0,48,0
Season 2023-24 ,434,237,53,4,185,48,0,0,0,53,0
Season 2024-25,117,93,4,1,32,60,0,0,2,2,0
