Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2015-16,397,128,37,0,109,19,0,0,1,5,31
Season 2016-17,447,146,69,0,3,143,0,0,0,3,66
Season 2017-18,440,149,39,0,13,136,0,0,0,1,38
Season 2018-19,339,129,6,3,91,35,0,0,1,4,1
Season 2019-20,307,100,35,3,81,16,0,0,5,30,0
Season 2020-21,1660,1,0,0,1,0,0,0,0,0,0
Season 2021-22,11237,728,8,242,0,486,0,0,0,8,0
Season 2022-23,14622,1613,35,1383,59,171,0,0,2,33,0
Season 2023-24 ,4184,475,111,247,181,47,0,0,31,80,0
Season 2024-25,3711,1558,88,336,531,691,0,0,85,3,0
