Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,8002,721,246,491,92,138,0,0,246,0,0
Season 2011-12,3008,107,20,28,38,41,0,0,20,0,0
Season 2012-13,6822,1122,281,871,26,225,0,0,281,0,0
Season 2013-14,4413,733,114,536,176,21,0,0,114,0,0
Season 2014-15,12933,1365,329,951,14,400,0,0,329,0,0
Season 2015-16,12602,855,267,610,101,144,0,0,243,17,7
Season 2016-17,14118,1197,712,924,10,263,0,0,621,55,36
Season 2017-18,20533,2306,819,2048,55,203,0,0,757,2,60
Season 2018-19,16613,1821,42,1491,108,222,0,0,34,8,0
Season 2019-20,17275,1734,1062,1227,489,18,0,0,776,280,6
Season 2020-21,14132,135,121,135,0,0,0,0,121,0,0
Season 2021-22,37753,1808,42,1772,0,36,0,0,42,0,0
Season 2022-23,61199,4276,94,4110,69,97,0,0,92,2,0
Season 2023-24,55782,2993,1726,2993,0,0,0,0,1726,0,0
Season 2023-24 ,917,322,263,23,269,30,0,0,17,246,0
Season 2024-25,9418,1417,5,1102,158,157,0,0,5,0,0
Season 2025-26,594,77,0,77,0,0,0,0,0,0,0
