Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,1533,405,365,15,50,340,0,0,365,0,0
Season 2011-12,3082,491,14,79,14,398,0,0,14,0,0
Season 2012-13,4265,526,235,145,8,373,0,0,235,0,0
Season 2013-14,3945,589,65,83,422,84,0,0,65,0,0
Season 2014-15,7949,1136,407,113,67,956,0,0,407,0,0
Season 2015-16,6819,645,181,257,260,128,0,0,93,47,41
Season 2016-17,8328,1098,549,597,22,479,0,0,279,64,206
Season 2017-18,3368,638,274,84,40,514,0,0,60,24,190
Season 2018-19,3741,798,31,119,307,372,0,0,10,18,3
Season 2019-20,4594,645,574,108,531,6,0,0,90,481,3
Season 2020-21,2364,1,5,1,0,0,0,0,5,0,0
Season 2021-22,34853,3092,22,1989,1,1102,0,0,22,0,0
Season 2022-23,3177,406,18,144,164,98,0,0,6,12,0
Season 2023-24,3138,77,60,77,0,0,0,0,60,0,0
Season 2023-24 ,677,320,271,29,135,156,0,0,12,259,0
Season 2024-25,2863,745,9,154,335,256,0,0,9,0,0
Season 2025-26,127,8,0,8,0,0,0,0,0,0,0
