Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3390,429,345,3,283,143,0,0,345,0,0
Season 2011-12,831,93,3,0,11,82,0,0,3,0,0
Season 2012-13,1664,380,146,0,15,365,0,0,146,0,0
Season 2013-14,3834,496,29,44,427,25,0,0,29,0,0
Season 2014-15,12776,1609,349,1097,59,453,0,0,349,0,0
Season 2015-16,11008,554,431,354,114,86,0,0,431,0,0
Season 2016-17,10828,971,476,597,24,350,0,0,464,3,9
Season 2017-18,13279,1568,654,1354,2,212,0,0,651,0,3
Season 2018-19,5876,598,84,344,56,198,0,0,83,1,0
Season 2019-20,4733,541,280,276,260,5,0,0,163,116,1
Season 2020-21,1571,17,30,17,0,0,0,0,30,0,0
Season 2021-22,3392,357,2,208,1,148,0,0,2,0,0
Season 2022-23,4711,749,60,496,130,123,0,0,56,4,0
Season 2023-24,4629,217,214,217,0,0,0,0,214,0,0
Season 2023-24 ,564,156,69,5,77,74,0,0,4,65,0
Season 2024-25,2662,2063,1,1372,240,451,0,0,1,0,0
