Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,24005,3187,1353,1404,328,1455,0,0,1353,0,0
Season 2011-12,20078,1155,215,730,329,96,0,0,215,0,0
Season 2012-13,33437,3340,2942,2197,40,1103,0,0,2942,0,0
Season 2013-14,37822,5123,1183,3429,1370,324,0,0,1183,0,0
Season 2014-15,59649,9018,2121,6541,247,2230,0,0,2121,0,0
Season 2015-16,58682,3325,2644,2826,125,374,0,0,2508,53,83
Season 2016-17,72608,6944,2735,6498,49,397,0,0,2585,35,115
Season 2017-18,111120,17134,9532,16792,79,263,0,0,9452,2,78
Season 2018-19,101127,17297,2009,16630,228,439,0,0,1953,44,12
Season 2019-20,124571,15053,13012,14474,555,24,0,0,12823,189,0
Season 2020-21,76084,763,1731,760,0,3,0,0,1726,5,0
Season 2021-22,248734,15731,208,15032,1,698,0,0,205,3,0
Season 2022-23,303955,33689,1157,33233,193,263,0,0,1149,8,0
Season 2023-24,306477,26673,15347,26673,0,0,0,0,15347,0,0
Season 2023-24 ,4051,518,305,13,338,167,0,0,9,296,0
Season 2024-25,132476,26090,422,24667,496,927,0,0,421,1,0
Season 2025-26,9135,2107,35,2107,0,0,0,0,35,0,0
