Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,15139,2432,826,733,495,1204,0,0,826,0,0
Season 2011-12,11810,1824,77,242,1012,570,0,0,77,0,0
Season 2012-13,20274,2268,1519,816,68,1384,0,0,1519,0,0
Season 2013-14,17992,1936,420,651,963,322,0,0,420,0,0
Season 2014-15,24741,3262,586,793,196,2273,0,0,586,0,0
Season 2015-16,25424,2228,1625,1630,247,351,0,0,1249,31,345
Season 2016-17,27411,3222,426,2351,8,863,0,0,253,45,128
Season 2017-18,33271,3964,2331,3259,85,620,0,0,2011,71,249
Season 2018-19,34728,6668,285,5874,389,405,0,0,275,9,1
Season 2019-20,37720,5048,3163,4513,513,22,0,0,2879,278,6
Season 2020-21,6334,177,327,176,0,1,0,0,325,2,0
Season 2021-22,1255,713,0,0,1,712,0,0,0,0,0
Season 2022-23,1119,511,35,0,190,321,0,0,0,35,0
Season 2023-24 ,1224,518,221,0,365,153,0,0,1,220,0
Season 2024-25,847,405,1,0,124,281,0,0,0,1,0
