Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,144,98,12,0,49,49,0,0,12,0,0
Season 2011-12,53,40,1,0,3,37,0,0,1,0,0
Season 2012-13,103,56,8,0,0,56,0,0,8,0,0
Season 2013-14,128,79,1,0,66,13,0,0,1,0,0
Season 2014-15,5698,586,188,206,7,373,0,0,188,0,0
Season 2015-16,6903,480,128,328,73,79,0,0,127,0,1
Season 2016-17,5184,701,240,465,3,233,0,0,238,0,2
Season 2017-18,8256,1468,465,1290,22,156,0,0,465,0,0
Season 2018-19,6604,1363,75,1010,214,139,0,0,70,4,1
Season 2019-20,7236,792,528,686,80,26,0,0,499,29,0
Season 2020-21,5269,25,34,25,0,0,0,0,34,0,0
Season 2021-22,12084,657,7,579,0,78,0,0,7,0,0
Season 2022-23,15156,1647,15,1550,15,82,0,0,15,0,0
Season 2023-24,16277,1308,125,1308,0,0,0,0,125,0,0
Season 2023-24 ,443,326,44,13,197,116,0,0,1,43,0
Season 2024-25,10618,1962,57,1781,124,57,0,0,47,10,0
Season 2025-26,691,91,2,91,0,0,0,0,2,0,0
