Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,3658,530,190,308,112,110,0,0,190,0,0
Season 2011-12,2144,78,17,20,12,46,0,0,17,0,0
Season 2012-13,4283,698,312,367,8,323,0,0,312,0,0
Season 2013-14,4528,663,92,120,476,67,0,0,92,0,0
Season 2014-15,9408,1304,210,1052,36,216,0,0,210,0,0
Season 2015-16,9281,959,326,646,269,44,0,0,317,4,5
Season 2016-17,11387,1970,624,1276,17,677,0,0,460,26,138
Season 2017-18,19409,2991,1411,2275,183,533,0,0,1151,34,226
Season 2018-19,17599,2987,125,2002,490,495,0,0,89,18,18
Season 2019-20,16811,1700,1415,1091,581,28,0,0,946,458,11
Season 2020-21,13337,42,57,42,0,0,0,0,57,0,0
Season 2021-22,43324,820,14,727,2,91,0,0,14,0,0
Season 2022-23,61741,4477,36,4318,41,118,0,0,35,1,0
Season 2023-24,51679,2923,1362,2923,0,0,0,0,1362,0,0
Season 2023-24 ,1332,243,48,7,156,80,0,0,1,47,0
Season 2024-25,24882,3526,59,3012,276,238,0,0,58,1,0
Season 2025-26,1388,247,2,247,0,0,0,0,2,0,0
