Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,9229,771,55,180,315,276,0,0,55,0,0
Season 2011-12,9881,610,698,36,195,379,0,0,698,0,0
Season 2012-13,12085,1584,207,208,40,1336,0,0,207,0,0
Season 2013-14,11231,1273,101,122,911,240,0,0,101,0,0
Season 2014-15,13979,1628,287,190,186,1252,0,0,287,0,0
Season 2015-16,15538,1201,994,707,218,276,0,0,814,52,128
Season 2016-17,28972,3700,483,3148,18,534,0,0,421,9,53
Season 2017-18,45641,4243,3206,3915,97,231,0,0,3070,4,132
Season 2018-19,45111,7499,189,6951,299,249,0,0,179,6,4
Season 2019-20,47744,3167,3152,2853,277,37,0,0,2942,207,3
Season 2020-21,23164,114,340,114,0,0,0,0,340,0,0
Season 2021-22,99655,1809,23,1419,2,388,0,0,23,0,0
Season 2022-23,170403,15244,144,14356,292,596,0,0,114,30,0
Season 2023-24,153015,7201,1679,7201,0,0,0,0,1679,0,0
Season 2023-24 ,1974,471,70,50,318,103,0,0,14,56,0
Season 2024-25,58064,7452,713,6710,336,392,0,14,710,3,0
Season 2025-26,3925,562,29,562,0,0,0,0,29,0,0
