Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,7947,892,86,406,262,224,0,0,86,0,0
Season 2011-12,5350,203,4,35,10,158,0,0,4,0,0
Season 2012-13,11127,1473,661,0,27,1446,0,0,661,0,0
Season 2013-14,10090,1106,34,0,909,197,0,0,34,0,0
Season 2014-15,17218,1727,256,690,106,931,0,0,256,0,0
Season 2015-16,17015,809,642,484,169,156,0,0,637,0,5
Season 2016-17,19361,1285,737,923,2,360,0,0,736,0,1
Season 2017-18,27457,2740,1033,2400,64,276,0,0,862,37,134
Season 2018-19,25328,2951,83,2410,307,234,0,0,65,3,15
Season 2019-20,24356,1650,1843,1456,193,1,0,0,1671,172,0
Season 2020-21,29006,33,107,33,0,0,0,0,107,0,0
Season 2021-22,49648,1811,10,1562,14,232,3,0,10,0,0
Season 2022-23,52684,4607,38,4133,221,253,0,0,23,15,0
Season 2023-24,33267,695,626,695,0,0,0,0,626,0,0
Season 2023-24 ,971,548,237,12,330,206,0,0,13,224,0
Season 2024-25,19604,1466,14,1051,214,201,0,0,12,2,0
Season 2025-26,733,94,1,94,0,0,0,0,1,0,0
