Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,6388,1669,310,105,749,815,0,0,310,0,0
Season 2011-12,3974,708,159,48,53,607,0,0,159,0,0
Season 2012-13,3403,1013,350,29,18,966,0,0,350,0,0
Season 2013-14,3458,864,73,94,585,185,0,0,73,0,0
Season 2014-15,5834,1595,418,123,64,1407,1,0,418,0,0
Season 2015-16,36477,4362,622,3425,750,187,0,0,480,68,74
Season 2016-17,44472,5934,3216,4892,31,1011,0,0,2869,86,261
Season 2017-18,72045,12478,4491,11296,125,1057,0,0,4105,12,374
Season 2018-19,61509,10811,485,9983,412,416,0,0,431,26,28
Season 2019-20,87394,11549,8710,11015,441,93,0,0,8090,610,10
Season 2020-21,121165,212,443,208,1,2,1,0,443,0,0
Season 2021-22,356421,20997,343,20389,5,603,0,0,342,1,0
Season 2022-23,365982,48377,643,47645,165,567,0,0,628,15,0
Season 2023-24,335982,27535,13067,27535,0,0,0,0,13067,0,0
Season 2023-24 ,3608,854,194,68,476,310,0,0,11,183,0
Season 2024-25,232911,42487,631,40918,1071,497,0,1,599,32,0
Season 2025-26,16193,2479,23,2479,0,0,0,0,23,0,0
