Season,Total Specimens,Total A,Total B,A (Subtype N/A),A (2009 H1N1),A (H3),A (H3N2v),A (H5),B (Subtype N/A),BVic,BYam
Season 2010-11,968,157,48,20,42,95,0,0,48,0,0
Season 2011-12,613,100,5,12,22,66,0,0,5,0,0
Season 2012-13,1047,216,117,20,11,185,0,0,117,0,0
Season 2013-14,930,250,20,10,208,32,0,0,20,0,0
Season 2014-15,1099,287,102,17,22,248,0,0,102,0,0
Season 2015-16,1662,292,69,125,104,63,0,0,26,1,42
Season 2016-17,839,278,42,3,2,273,0,0,12,1,29
Season 2017-18,767,190,128,9,39,142,0,0,19,2,107
Season 2018-19,349,171,11,1,91,79,0,0,4,3,4
Season 2019-20,7585,185,152,134,50,1,0,0,127,25,0
Season 2020-21,126042,61,22,61,0,0,0,0,20,2,0
Season 2021-22,41905,1818,11,945,0,873,0,0,11,0,0
Season 2022-23,3395,494,15,312,59,123,0,0,11,4,0
Season 2023-24,829,103,101,103,0,0,0,0,101,0,0
Season 2023-24 ,654,91,44,45,38,8,0,0,21,23,0
Season 2024-25,757,191,1,134,32,25,0,0,1,0,0
Season 2025-26,21,5,0,5,0,0,0,0,0,0,0
